   Operation      Sample     Latency
2-i32-d0      0            1  2550098.40
2-i32-d0      0            2  2530302.20
2-i32-d0      0            3  2581593.00
2-i4-d0       0            1  2265216.00
2-i4-d0       0            2  2238695.60
2-i4-d0       0            3  2235480.00
2-i64-d0      0            1  2315277.00
2-i64-d0      0            2  2300969.80
2-i64-d0      0            3  2305171.00
2-i8-d0       0            1  2510084.20
2-i8-d0       0            2  2566825.00
2-i8-d0       0            3  2600373.60
21-i1-d0      0            1  9358548.80
21-i1-d0      0            2  9312421.00
21-i1-d0      0            3  9320715.80
21-i128-d0    0            1  9971294.60
21-i128-d0    0            2 10036337.80
21-i128-d0    0            3  9986899.60
21-i16-d0     0            1 18939934.20
21-i16-d0     0            2 19181745.80
21-i16-d0     0            3 19199392.40
21-i2-d0      0            1 14960838.60
21-i2-d0      0            2 15058772.80
21-i2-d0      0            3 14912468.20
21-i32-d0     0            1 12706423.40
21-i32-d0     0            2 12820714.60
21-i32-d0     0            3 12820810.00
21-i4-d0      0            1 21102001.60
21-i4-d0      0            2 21143987.00
21-i4-d0      0            3 21135671.40
21-i64-d0     0            1  8176962.60
21-i64-d0     0            2  8276129.40
21-i64-d0     0            3  8253231.60
21-i8-d0      0            1 23137272.00
21-i8-d0      0            2 23088346.00
21-i8-d0      0            3 23126001.20
26-i1-d0      0            1 11878793.40
26-i1-d0      0            2 11840319.80
26-i1-d0      0            3 11883023.60
26-i128-d0    0            1 11041128.40
26-i128-d0    0            2 11089949.40
26-i128-d0    0            3 11167343.20
26-i16-d0     0            1 21238237.40
26-i16-d0     0            2 21201999.00
26-i16-d0     0            3 21115844.00
26-i2-d0      0            1 19473967.20
26-i2-d0      0            2 19407910.80
26-i2-d0      0            3 19434665.40
26-i32-d0     0            1 13042069.00
26-i32-d0     0            2 13077701.00
26-i32-d0     0            3 13079274.20
26-i4-d0      0            1 26861751.20
26-i4-d0      0            2 26841606.20
26-i4-d0      0            3 26842545.80
26-i64-d0     0            1 10347974.80
